How Great Thou Art
沒有祢那有我
得勝
Cry in My Heart
恩典
生命活水充滿我
Knowing You
扣緊
靠向我主
全然讚頌祢
Communion/沒有祢那有我
沒有祢  那有我
Mighty to Save
祢賜下平安
我們歡迎君王降臨/期待耶穌
全然向你
原來祢竟多麼深愛我
Crown Him (Majesty)
"只因愛, 深觸我心, 你成就救恩, 唯有耶穌, 袮是何等榮美， 期待耶穌"
Communion/ 耶穌我深愛祢
何等恩典/寶貴十架
同聲讚頌
祢真偉大
Column 10
全新的你
福杯滿溢
願祢降臨
祢是配得 You Are Worthy
祢讓我生命改變
回到世界中心
More Precious Than Silver
從這代到那代
耶和華坐著為王
I Sing Hosanna
全心敬拜
袮是配得
耶穌的名
Create In Me A Clean Heart
認定祢
Communion / 我們呼求
Facedown
You Are My All In All
Moment by Moment
萬福源頭 Come Thou Fount
聖潔歸於你
原來你竟多麼深愛我
基督的使者
沒有祢  那有我/ 重燃薪火 
無聲頌
袮是何等榮美， 除祢以外
Communion + Unity
I See The Lord
因主的名
你是何等榮美/我們歡迎君王降臨
天堂在我心
從心合一 
Lord I lift Your Name on High
唯一
 這愛極深厚
What the Lord Has Done in Me
Communion/ 直到地老天荒
榮耀的呼召
願袮用愛吸引我
耶穌來得著這地
Power of Your Love
Communion/ 祢真偉大 
我們歡迎君王降臨
There is a Fountain Filled with Blood
重回祢話語中
美境重尋
唯獨祢愛我一生
You Are My King (Amazing Love)
我的救贖者活著
"只因愛, 深觸我心, "
Column 4
以愛還愛
O Come All Ye Faithful
I Will Rise
我的心你要稱頌耶和華
No Greater Love
Who Am I?
靜望主基督
榮耀大君王
祢的深恩
Turn Your Eyes Upon Jesus
牧羊人沒有忘記
You Are Good
這是天父世界
There Is A Higher Throne
We Fall Down
"祢成就救恩, 唯有耶穌, "
神啊! 祢在哪兒
一生不枉過
Days of Elijah
Communion/ 心曲 
和撒那 Hosanna
容我寧静
至愛的迴響
Be Thou My Vision
"耶穌,來得著這地"
奔跑不放棄
Grace  Alone
我更需要祢
Maundy Thursday
神!祢在掌管
你的最愛
More Precious than Silver
活石
Come As You Are
Column 2
袮的信實廣大
The Stand
多一步
祢是我的神
活著為要敬拜你
耶穌我深愛祢 
給我清潔的心
天父......
更新我
Your Name
The Greatness of Our God
動力信望愛
主禱文(請教導我們禱告)
褔杯滿溢
祢是我盼望
O Little Town of Bethlehem
Firm Foundation
奔跑不放棄+榮耀的呼召
我心敞開
宝貴十架
你在
保惠師
Face Down
即或不然
祢是彌賽亞
投靠祂的人有福
Column 8
我該拿甚麼報答祢
神! 祢在掌管
全是祢恩典
"Lord, You Are Good"
從心合一
全因为你
給我清潔的⼼
我們都是這樣靠主走過的
God Will Make A Way
You Raise Me Up
Column 6
Forever Reign
榮美屬祢
讚美全能神 (HL 26)
渴慕祢 (吉中鳴)
十架的愛
Never Once
King of Kings
靠近
偶然遇上的驚喜
奇妙的愛/Communion
求主給這世代看見異象
The Steadfast Love
原來袮竟多麼深愛我
萬軍之耶和華
全然奉獻
It is Good to Praise the Lord
神啊， 祢在哪兒
Great Is Thy Faithfulness 主恩何信實
這愛極深厚 
We Fall Down / 你是何等榮美]
一生的恩惠
How Great Is Our God /How Great Thou Art
可以麼
God Rest Ye Merry Gentlemen
感謝神
袮的愛
因祢堅持
I See the Lord
祢是配得/日日夜夜
全為祢獻呈
最好的福氣
The First Noel 
Heart of a Servant
主禱文 (在天上的父)
天父
榮雨降下
活着為要敬拜祢
寶貴十架/ Communion
Here I Am To Worship
渴慕祢 
回到袮身旁 
更深愛祢
因祂活著
主賜福如春雨 
逾越
Testimony + Baptism
接收
主，請祢憐憫
Open the Eyes of My Heart
Seek Ye First
主 請祢憐憫
萬代君主
從心合一 Unity Song
渴慕聖潔
天父…
Hear O Lord
Find Us Faithful
重燃薪火
世界最美的聲音
Medley [I See the Lord /
主啊，我要
Heart of A Servant
再次將我更新
只要有祢在我左右
Communion / 只因愛
至死忠心
Draw Me Close
"愛, 再不是傳說"
同享主餐
Heart of Worship
Unashamed
He Knows My Name 
Amazing Grace (My Chains Are Gone) + 奇異恩典
永約的神
救恩
神坐着為王
我們是光明之子
回應主呼聲
奇妙的愛 + Communion
坐在寶座上聖潔羔羊 + 期待耶穌 Chorus Only
獻上頌讚 Shout to the Lord + Baptism
喜愛祢聲音
愛的記號 + Communion
祢的信實廣大
扣緊 
主啊我要
認定你
"沒有祢  那有我
"
真實的悔改 
十架的冠冕 + Communion
All We Like Sheep
祢許可
Until the End
Once Again 
Your Name 
Trust His Heart
靠近 
"Baptism +
日日夜夜 Day and Night"
同路人
我願袮來
Complete 
我心安穩
上主名字
Amazing Love 奇妙的愛
Be With You
"活著為要敬拜祢
I Live to Worship You"
袮的最愛
Hosanna 和散那
何等美麗名字
There is a Higher Throne
神！祢在掌管
全人獻奉祢
Joy To The World (Unspeakable Joy)
直到我遇到袮
There is a hope 有一盼望 
Cornerstone
坐在寶座上聖潔羔羊
Baptism
Oceans Will Part
海會分開.
藏我 
我心緊緊跟隨你
Oh Come All Ye Faithful
Turn your eyes upon Jesus 靜望主基督
你是永恆主宰
Behold the Lamb + Communion
主多麼愛我
無論那刻
至聖的主
All We Like Sheep + Communion
和散那 (Hosanna)
藏祢懷內 + Communion
What A Beautiful Name 太美麗的名字
除祢以外 No Other Name
榮耀的呼召 + Communion
憑祢意行 (生命聖詩350)
We Will Worship the Lamb of Glory
Majesty / Blessed be the Lord God Almighty
袮成就救恩
I Worship You / I Love You Lord
恩典 + Communion
上主名字 
Be With You + Communion
何等美麗名字 
和撒那 (Hosanna)
你是美麗
全人獻奉你
敬拜上帝
Hosanna 和撒那
日日夜夜 
祢的同在
我們歡迎君王降臨臨
Complete + Communion
奇妙的愛 
永恆的袮
As the Deer / The Steadfast Love of the Lord
得勝 
有一位神
祢是配得 + 無論那刻
"There is a Higher Throne
更高的寶座"
主禱文
藏我
記念羔羊 + Communion
讚美永不息
清心見祢面
祢是我牧人
Because He Lives
"我的心,你要稱頌耶和華"
因著信
"Here I Am To Worship 
光輝的主"
全因為祢
讓我得見祢的榮面
奇異的愛 + You Are My King (Amazing Love)
"What A Wonderful Saviour
耶穌得勝捨身拯救 [HL64]"
"全地皆屬父神 (這是天父世界)
(生命聖詩512)"
滿有能力 I Am Strengthened in Him
真相 + Communion
渴慕袮
As We Worship You / 每當我們同心敬拜
每個清晨
天地讚美
Let all mortal flesh keep silence
What a Beautiful Name
好信息
深觸我心 + Communion
祢願意寬恕我
啟示錄
萬世君王
沒有祢 那有我
全因基督
This is Amazing Grace 深恩驚天動地
神的孩子
謙卑禱告
Come Thou Long-Expected Jesus 久望主臨 [HL104]
Way Maker
榮耀的呼召 
主禱文 (請教導我們禱告)
投靠
寶貴十架 + Communion
平安
主恩何信實 (祢的信實廣大)
祢配得
Oceans Will Part 海會分開
是為了我罪
萬有都歸祢
"How Great Is Our God
神祢名尊貴"
至高尊貴的祢
你真偉大
There Is A Hope 有一盼望
祢在
原來有祢
在耶穌的腳前
神的帳幕在人間
In Christ Alone + Communion
信實的確據
There Is A Hope
我們呼求 + 得勝
進入這地
約書亞 (Chorus Only)
Awakening
直到我遇到祢 + Communion
神祢名尊貴
耶和華以勒 (同心圓)
平安 + 神同在 Medley
世界之光
玻璃海
如果沒有祢
何等美麗名字 + Communion
發現祢
It Came Upon the Midnight Clear 深宵歌聲 [HL91]
榮耀上帝
祢是我神
何等美麗名字+Communion
祢是聖潔
聖靈的江河
主祢伴我行
這是愛 + Communion
永約之誓
Thrive
安靜
"默默無聲等候神"
In Christ Alone 唯獨在基督裡+Communion
至愛的迴響 + Communion
"深觸我心
"
我渴望看見
我更需要你
"我心敞開"
Amazing Grace + Communion
Called Me Higher
謝謝我主
平安的約
藏我 + Communion
得著自由
在祢跟前
讓我得見袮的榮面
唯有祢是聖潔的
重回你話語中
立志擺上
"Unspeakable Joy 
普世歡騰 "
願祢國度彰顯
你願意寬恕我 + Communion
以便以謝
"何等恩典 "
主袮是我力量
我要一生一世住在你聖殿
我願意
這是愛
約
有你相隨
堅立
耶和華以勒(同心圓)
"謝謝我主"
親愛主
奉你的名
"信實的確據"
放下自己
"永約之誓"
展開清晨的翅膀
緊跟你
祢坐著為王
"萬有都歸祢"
被愛的一個 + Communion
萬有要歌頌神
耶穌我感謝你
There is a Higher Throne 更高的寶座 
晚禱
呼喚
全地齊讚頌
平安 + Communion
我心尊祢為大￼/我心尊主為大
何等榮耀美麗的主
可以
Joy to the World (Unspeakable Joy)
灰塵
這就是我的神
世代的禱告
喜愛你聲音
耶和華是愛 + Communion
重見晴天
天父...
No Longer Slaves
祢的最愛
崇拜主
呼喊
Agnus Dei
直到我遇到祢
十字架
"Great Is Thy Faithfulness
祢的信實廣大 (C+)
Do It Again (E+)"
"眾聖徒獻忠誠 
O Come All Ye Faithful"
渴慕祢 by Esther Chow
"Shout To The Lord 
獻上頌讚"
唯獨在基督裡
祂說...To Listen
感恩中讚美
大能的恩典
堅定我
神恩典夠我用
獻給我天上的主
繼續相信
讃美中信心不斷升起
耶穌哭了
祢的恩典夠我用
歡欣
全因基督 
"至死忠心"
主等候施恩
"At The Corss
十架前 (是祢珍惜我)
+ Communion"
"不是倚靠勢力"
活石 
Hark! The Herald Angels Sing
"My Redeemer Is Faithful And True
我的救贖主信實真確"
"讚美中信心不斷升起 +
祢的信實廣大"
"歷煉荊途"
在我主光亮中
求祢以真理和愛引導我
一生愛祢
願祢公義降臨
聖哉三一
至於我和我家
求主聽禱聲
寶血活泉
決心跟你
讓我靈頌祢名 
Shine Jesus Shine
重見晴天 
Glorify Thy Name
"全地頌揚上主
Come and Sing Praises"
…盡力愛祢
基督君尊配受眾俯拜
主等候施恩 + Communion
諸天頌讚
向至高者讚美
每一天
"我們都是這樣靠主走過的"
主基督配得
King of Kings 萬代君主
主你伴我行
在地若天
我要一生一世住在祢聖殿
"O Little Town of Bethlehem
小小舊鎮伯利恆 [HL94]"
"從心合一"
耶穌配得至聖尊榮
"How Great Is Our God
神祢名尊貴 / 
How Great Thou Art 祢真偉大 "
何等恩典 + Communion
更像祢
逾越 
一切
安靜 Still / Be Still
認信之後
每當我們同心敬拜 
只想讚頌父神
"重燃薪火"
唯有耶穌 ＋ 祢是配得
頌遍天際
"萬物頌讚主
(All Creature of our God and King)"
 期待耶穌
君王就在這裡
"Amazing Grace 
(My Chains Are Gone)"
主禱文（請教導我們禱告）
Thanks to God 感謝神
沿路有您
在我主光亮中  
"慈愛恩主，請祢來臨
O Come, O Come, Emmanuel"
進入祢的同在
憂傷痛悔的靈
因為祢先愛我們
先求祢的國
信眾齊到主前
一
深刻的愛
擁抱十架
O Come All Ye Faithful + 頌讚未停 + 諸天頌讚 Medley
Do It Again
新的異象，新的方向
相信有愛就有奇蹟
天父⋯ 
...盡力愛你
我要一心稱謝祢 (讃美之泉)
無盡愛
保守我心
"遮蓋我"
It Came Upon the Midnight Clear
寶貝聖靈
盡力愛祢
我的千古保障 
Angels We Have Heard on High
"恩主美善愛眷
By Gentle Powers"
避難所
可以麼 
世界最美的聲音 (奇異恩典)
"久望主臨
Come, Thou Long-Expected Jesus"
靠著你寶血
我心尊主為大
決心跟祢
耶穌我感謝祢
遮蓋我
唯獨在基督裡 (In Christ Alone)
我們的救主
獻給祢
"謹將所有獻與基督
(I Surrender All)"
手中的福音
遮蓋我 (Chorus & Bridge Only)
何等榮耀美麗的主 + Communion
徹底
新的異象　新的方向
信心眼淚 + Communion
最美好…盡力愛祢
最好的福氣 + Communion
全為祢獻呈 + Communion
更深愛袮
主與我同在
我向祢禱告
基督的使者 + Communion
與神同行（青年新歌）
神是我這生供應者
…盡力愛祢 + Communion
有神同往
祢是我神 + Communion
不要緊 
讓我
祢是我盼望 + Communion
同享主餐 + Communion
願祢國度彰顯 + Communion
祢大能勝過我的限制
"將最好的獻主
Give of Your Best to the Master"
好信息 Chorus & Bridge Only
就算面對黑暗
聽啊！天使高聲唱
再次深刻經歷祢拯救
大能的恩典 + Communion
Living Hope
更高的寶座 There is a Higher Throne
晚禱 + Communion
好信息 + Communion
"O Come, O Come Emmanuel
以馬內利,懇求降臨"
Baptism + 日日夜夜
但主愛更深廣 + Communion
愛的恩賜
放下自己 + Communion
世界最美的聲音 (奇異恩典) + Communion
立志擺上 + Communion
Amazing Grace (My Chains Are Gone) 奇異恩典
最美好…盡力愛祢 + Communion
人間行傳 + Communion
光和鹽
再次深刻經歷祢拯救 + Communion
得著自由 + Communion
心生敬畏
全是祢恩典 + Communion
願我為主活 [生命聖詩#469]
徹底 + Communion
主禱文 (在天上的父) + Communion
主啊! 我願意
我更需要祢 + Communion
我在這裡 + Communion
誠心獻奉祢
原來祢竟多麼深愛我 + Communion
順服
晚禱 
主禱文 (請教導我們禱告) 
保守我心￼
發現祢 + Communion
Oceans will part
同餅同杯 + Communion
"主是我萬有
Be Thou My Vision"
啟⽰錄 + Communion
君尊僕人 The Servant King
只因愛 + 神同在 Medley
